id,source,site,sites,region,dong,complex,type,area_m2,floor,deposit,rent,built_year,date,features,url,lat,lng
zb50334021,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50334021,구로구,개봉동,,빌라,35.0,2,2000,95,,2026-09-10,"준신축,엘레베이터유,옵션유,아주좋아요 · 관리비 10만",https://www.zigbang.com/home/villa/items/50334021,37.505809,126.845148
zb50345159,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50345159,구로구,구로동,,빌라,28.14,7,24500,27,,2026-09-10,신혼부부버팀목O.실제전용면적보다넓은평수.반환보증가능. · 관리비 9만,https://www.zigbang.com/home/villa/items/50345159,37.498321,126.881283
zb50345378,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50345378,금천구,가산동,,빌라,29.26,6,1000,130,,2026-09-10,신축 대형투룸 1세대 방2거실1화1 전입o 선착순 1세대 · 관리비 8만,https://www.zigbang.com/home/villa/items/50345378,37.473093,126.890301
zb50345740,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50345740,구로구,구로동,,빌라,29.26,3,24900,23,,2026-09-10,허그버팀목.LH.융자무.개인등기.채광좋은 신축 투룸. · 관리비 5만,https://www.zigbang.com/home/villa/items/50345740,37.493251,126.881986
zb50345750,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50345750,영등포구,양평동2가,,빌라,30.0,2,1000,68,,2026-09-10,찐매물 투룸 애완동물 가능 선착순 매물 강력추천,https://www.zigbang.com/home/villa/items/50345750,37.524652,126.884232
zb50346040,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50346040,관악구,신림동,,빌라,78.48,2,32500,30,,2026-09-10,"24평,HUG대출,보증보험,주차굿,일부수리,전세도 가능 · 관리비 3만",https://www.zigbang.com/home/villa/items/50346040,37.476994,126.912642
zb50346547,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50346547,구로구,개봉동,,빌라,12.5,5,5000,80,,2026-09-10,"준공3년차,반려동물ok,엘레베이터유,에어컨 · 관리비 5만",https://www.zigbang.com/home/villa/items/50346547,37.501924,126.843412
zb50346594,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50346594,구로구,개봉동,,빌라,49.0,4,5500,110,,2026-09-10,개봉역세권 컨디션좋은거실잘빠진쓰리룸 급매 주차 · 관리비 12만,https://www.zigbang.com/home/villa/items/50346594,37.498894,126.851228
zb50299788,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50299788,과천시,부림동,,빌라,70.42,2,300,80,,2026-09-10,"1층임대인거주,2층내부계단이용하여 거실과 방사용 쉐어하우스",https://www.zigbang.com/home/villa/items/50299788,37.43748,126.999306
zb50344978,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50344978,과천시,갈현동,,빌라,65.86,4,10000,240,,2026-09-10,복층구조 테라스있는 쓰리룸 이사협의 · 관리비 10만,https://www.zigbang.com/home/villa/items/50344978,37.410599,126.984206
zb50313674,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50313674,동작구,상도동,,빌라,47.14,2,5000,130,,2026-09-10,"융자없음 방3,화1베란다1 주차무료 신대방삼거리역5분거리 · 관리비 3만",https://www.zigbang.com/home/villa/items/50313674,37.501923,126.930701
zb50314609,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50314609,서초구,잠원동,,빌라,40.0,4,1000,100,,2026-09-10,ㅁ월세 저렴.풀옵션.위치 굿.통베란다.조건 좋은 투룸 · 관리비 9만,https://www.zigbang.com/home/villa/items/50314609,37.511912,127.018956
zb50323560,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50323560,영등포구,신길동,,빌라,43.0,3,2500,105,,2026-09-10,"2bay구조 1.5룸 거실,침실분리 주차,엘베 · 관리비 6만",https://www.zigbang.com/home/villa/items/50323560,37.498536,126.918261
zb50325182,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50325182,서초구,방배동,,빌라,24.39,2,16960,58,,2026-09-10,"HUG버팀목,보증보험 가능 2룸 살기좋은 주택가 주차,엘베 · 관리비 10만",https://www.zigbang.com/home/villa/items/50325182,37.476239,126.994042
zb50333902,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50333902 https://www.dabangapp.com/room/6a865ce1d6680063a8cbe9d7,관악구,신림동,,빌라,42.97,,1000,45,,2026-09-10,애완동물o 주차o 깔끔o 가성비o 투룸o · 반지하 · 관리비 2만,https://www.zigbang.com/home/villa/items/50333902,37.465391,126.919264
zb50344074,현재매물,zigbang,https://www.zigbang.com/home/villa/items/50344074,관악구,신림동,,빌라,33.12,4,500,61,,2026-09-10,애완동물 가능 지하철 초인접 2룸 가성비 완벽 · 관리비 9만,https://www.zigbang.com/home/villa/items/50344074,37.471395,126.933346
